Store,Region,StoreGrade,Category,Model,SalesAmount,SalesQty,InventoryQty,InventoryValue,StockAgeDays
中環旗艦店,香港,AA,G,G001,288000,36,4,32000,28
中環旗艦店,香港,AA,G,G002,450000,30,3,45000,15
中環旗艦店,香港,AA,G,G003,198000,33,5,30000,40
中環旗艦店,香港,AA,J1,J101,1050000,30,2,70000,22
中環旗艦店,香港,AA,J1,J102,540000,30,3,54000,18
中環旗艦店,香港,AA,J1,J103,1350000,30,1,45000,30
中環旗艦店,香港,AA,J5,J501,195000,30,4,26000,35
中環旗艦店,香港,AA,A1,A001,96000,120,15,12000,20
中環旗艦店,香港,AA,T1,T101,840000,30,2,56000,45
中環旗艦店,香港,AA,T1,T102,555000,30,3,55500,35
尖沙咀店,香港,AA,G,G001,224000,28,5,40000,32
尖沙咀店,香港,AA,G,G002,390000,26,4,60000,20
尖沙咀店,香港,AA,G,G004,137500,25,6,33000,25
尖沙咀店,香港,AA,J1,J101,980000,28,3,105000,28
尖沙咀店,香港,AA,J1,J102,504000,28,4,72000,22
尖沙咀店,香港,AA,J1,J104,616000,28,3,66000,30
尖沙咀店,香港,AA,J5,J501,169000,26,5,32500,38
尖沙咀店,香港,AA,A1,A001,84000,105,18,14400,25
尖沙咀店,香港,AA,T1,T101,756000,27,2,56000,50
尖沙咀店,香港,AA,T1,T102,518000,28,4,74000,40
路氹城店,澳門,AA,G,G001,320000,40,3,24000,15
路氹城店,澳門,AA,G,G002,480000,32,2,30000,10
路氹城店,澳門,AA,G,G003,228000,38,3,18000,20
路氹城店,澳門,AA,J1,J101,1225000,35,2,70000,18
路氹城店,澳門,AA,J1,J102,630000,35,2,36000,15
路氹城店,澳門,AA,J1,J103,1575000,35,1,45000,25
路氹城店,澳門,AA,J5,J502,480000,40,3,36000,20
路氹城店,澳門,AA,A1,A001,120000,150,12,9600,15
路氹城店,澳門,AA,T1,T101,980000,35,2,56000,30
路氹城店,澳門,AA,T1,T102,629000,34,3,55500,25
銅鑼灣店,香港,A,G,G001,192000,24,6,48000,45
銅鑼灣店,香港,A,G,G002,300000,20,5,75000,35
銅鑼灣店,香港,A,G,G003,150000,25,6,36000,55
銅鑼灣店,香港,A,J1,J101,700000,20,4,140000,40
銅鑼灣店,香港,A,J1,J102,360000,20,5,90000,35
銅鑼灣店,香港,A,J5,J501,130000,20,5,32500,60
銅鑼灣店,香港,A,A1,A001,60000,75,20,16000,30
銅鑼灣店,香港,A,T1,T101,560000,20,3,84000,60
銅鑼灣店,香港,A,T1,T102,370000,20,5,92500,45
旺角店,香港,A,G,G001,168000,21,7,56000,50
旺角店,香港,A,G,G002,270000,18,6,90000,40
旺角店,香港,A,G,G003,126000,21,7,42000,60
旺角店,香港,A,J1,J101,630000,18,5,175000,45
旺角店,香港,A,J5,J501,117000,18,6,39000,70
旺角店,香港,A,J5,J502,216000,18,5,60000,55
旺角店,香港,A,A1,A001,54000,67,22,17600,35
旺角店,香港,A,A1,A002,48000,40,15,18000,45
旺角店,香港,A,T1,T102,333000,18,6,111000,50
半島店,澳門,A,G,G001,200000,25,5,40000,30
半島店,澳門,A,G,G002,330000,22,5,75000,25
半島店,澳門,A,J1,J101,770000,22,4,140000,35
半島店,澳門,A,J1,J102,396000,22,4,72000,28
半島店,澳門,A,J5,J501,143000,22,5,32500,40
半島店,澳門,A,A1,A001,66000,82,18,14400,22
半島店,澳門,A,T1,T101,616000,22,3,84000,42
新加坡烏節路店,海外,A,G,G001,176000,22,6,48000,45
新加坡烏節路店,海外,A,G,G002,300000,20,5,75000,40
新加坡烏節路店,海外,A,J1,J101,700000,20,5,175000,50
新加坡烏節路店,海外,A,J1,J104,440000,20,5,110000,45
新加坡烏節路店,海外,A,J5,J503,96000,20,6,28800,55
新加坡烏節路店,海外,A,A1,A002,60000,50,20,24000,40
新加坡烏節路店,海外,A,T1,T102,370000,20,5,92500,50
沙田新城市店,香港,B,G,G001,128000,16,8,64000,60
沙田新城市店,香港,B,G,G003,108000,18,8,48000,75
沙田新城市店,香港,B,G,G004,110000,20,8,44000,65
沙田新城市店,香港,B,J1,J102,288000,16,7,126000,65
沙田新城市店,香港,B,J5,J501,104000,16,8,52000,80
沙田新城市店,香港,B,A1,A001,40000,50,25,20000,45
沙田新城市店,香港,B,A1,A003,30000,50,20,12000,55
屯門市廣場店,香港,B,G,G001,96000,12,10,80000,90
屯門市廣場店,香港,B,G,G004,82500,15,10,55000,120
屯門市廣場店,香港,B,J1,J102,216000,12,8,144000,95
屯門市廣場店,香港,B,J5,J501,78000,12,10,65000,200
屯門市廣場店,香港,B,J5,J503,48000,10,12,57600,210
屯門市廣場店,香港,B,A1,A001,24000,30,30,24000,80
屯門市廣場店,香港,B,A1,A002,24000,20,20,24000,185
屯門市廣場店,香港,B,T1,T102,185000,10,8,148000,110
東京銀座店,海外,B,G,G002,225000,15,8,120000,90
東京銀座店,海外,B,G,G003,126000,21,8,48000,100
東京銀座店,海外,B,J1,J101,525000,15,8,280000,95
東京銀座店,海外,B,J5,J502,180000,15,10,120000,195
東京銀座店,海外,B,J5,J503,72000,15,12,57600,220
東京銀座店,海外,B,A1,A001,24000,30,25,20000,115
東京銀座店,海外,B,T1,T101,420000,15,8,224000,105
元朗廣場店,香港,C,G,G001,56000,7,15,120000,140
元朗廣場店,香港,C,G,G002,90000,6,12,180000,185
元朗廣場店,香港,C,G,G003,48000,8,12,72000,150
元朗廣場店,香港,C,J1,J101,175000,5,12,420000,130
元朗廣場店,香港,C,J1,J102,90000,5,10,180000,195
元朗廣場店,香港,C,J5,J501,45500,7,10,65000,160
元朗廣場店,香港,C,A1,A001,8000,10,35,28000,120
元朗廣場店,香港,C,T1,T102,74000,4,10,185000,155
